gene_id E15_cpn	E15_corticothal	E15_subcereb	E16_cpn	E16_corticothal	E16_subcereb	E18_cpn	E18_corticothal	E18_subcereb	P1_cpn	P1_corticothal	P1_subcereb	cluster	gene_id	gene_type
1700019G17Rik	1.82122	2.08149	2.79953	1.89952	1.92733	2.78116	1.89284	2.27896	3.05398	1.30859	1.25539	2.14058	19	1700019G17Rik	Protein coding
1700025G04Rik	7.19975	6.90171	5.56406	6.84883	7.35673	6.01209	6.29667	6.78577	5.68407	4.65815	6.4289	4.08821	13	1700025G04Rik	Protein coding
1700029F09Rik	7.24188	5.194	4.97913	5.33813	2.81335	4.29231	4.26719	3.71235	3.01	3.01368	3.1126	2.77857	19	1700029F09Rik	Protein coding
1700029I01Rik	1.4631	1.27017	1.07206	1.24207	1.67751	1.33685	0.79432	0.422307	0.754789	0.253734	0.240014	0.291431	19	1700029I01Rik	Protein coding
1700029J07Rik	1.66323	3.47351	3.16658	2.61224	4.45173	3.56387	3.15016	5.28763	3.8311	3.15697	4.8173	4.54471	12	1700029J07Rik	Protein coding
1700030J22Rik	1.55543	2.12705	1.84601	1.64424	1.84087	2.84953	1.81143	1.95309	3.83328	1.28871	1.47008	3.04923	11	1700030J22Rik	Protein coding
1700034H14Rik	11.5824	9.54576	10.3563	10.5949	10.8931	9.32447	8.26722	10.318	6.9246	3.91675	4.21112	3.82652	19	1700034H14Rik	Protein coding
1700037H04Rik	31.5494	21.5455	26.3813	32.4028	21.4106	38.5956	30.599	21.3709	41.725	23.1989	19.3204	49.3943	14	1700037H04Rik	Protein coding
1700040L02Rik	0	0	0	0	0	0.0106039	0	0	0.130756	0	0.0141634	0.279145	16	1700040L02Rik	Protein coding
1700045I19Rik	0	0.354294	0.0598846	0.0224068	0.477489	0.0932635	0.164526	0.899979	0.271508	0.309961	1.02478	0.174611	9	1700045I19Rik	Protein coding
1700048O20Rik	10.673	10.1389	11.0074	11.0161	12.5271	11.0555	14.6254	18.0574	11.7821	18.3549	23.1953	13.9551	17	1700048O20Rik	Protein coding
1700049G17Rik	3.99877	4.80285	4.78031	4.43232	4.84771	4.05085	3.8782	3.67655	3.31969	1.80813	1.86403	1.33682	19	1700049G17Rik	Protein coding
1700057K13Rik	0.0812213	0.0495955	0.0535639	0.0779268	0.051496	0.0640089	0.0175418	0	0	0.255129	0.183131	0.295462	4	1700057K13Rik	Protein coding
1700066M21Rik	19.1607	4.36562	3.909	14.3271	4.26457	5.2143	11.6765	4.51283	6.09224	13.9166	6.36942	8.93343	10	1700066M21Rik	Protein coding
1700081L11Rik	42.9193	45.6203	45.1155	39.9262	38.2162	36.1229	33.0653	31.701	27.5352	29.1038	27.2781	21.0846	19	1700081L11Rik	Protein coding
1700086L19Rik	5.3267	3.27318	5.51191	11.1606	7.51922	14.1394	12.595	11.0247	13.9487	30.7068	19.3369	22.6803	17	1700086L19Rik	Protein coding
1700094D03Rik	7.73346	9.34152	9.65432	5.92095	7.52099	6.29272	5.17065	6.769	4.03348	4.34058	4.73066	2.66394	19	1700094D03Rik	Protein coding
1700102P08Rik	5.27005	6.78079	5.86714	4.84582	5.2396	5.10295	4.4246	4.54146	3.86358	2.30024	2.89957	2.54259	19	1700102P08Rik	Protein coding
1810011O10Rik	2.5987	5.88699	6.09684	1.52363	3.49769	3.15039	0.816385	2.44054	2.05825	0.170874	1.14535	1.72285	3	1810011O10Rik	Protein coding
1810012P15Rik	2.88029	0.76222	2.95534	4.26129	0.859685	5.20995	3.61651	0.74189	6.16262	4.41859	0.755821	6.19769	4	1810012P15Rik	Protein coding
1810013D10Rik	10.9178	7.07375	11.1517	10.1087	9.58461	11.0824	9.68289	9.12718	13.2557	11.7576	10.0453	17.1456	18	1810013D10Rik	Protein coding
1810013L24Rik	19.633	19.9413	19.0653	17.3376	17.1758	19.288	14.8301	14.7176	18.026	5.17262	5.67193	5.74867	19	1810013L24Rik	Protein coding
1810027O10Rik	33.9023	24.0719	30.5849	31.6133	22.1539	32.571	32.9578	26.2105	39.7505	43.3156	40.953	57.1711	18	1810027O10Rik	Protein coding
1810041L15Rik	0.824562	4.7107	6.29965	1.05694	2.34253	1.15007	0.736035	2.00125	1.2651	1.05182	1.89361	2.76139	7	1810041L15Rik	Protein coding
1810043G02Rik	8.46855	11.3347	10.5633	10.4652	10.8142	11.4029	11.8101	12.1713	13.755	14.5823	13.6801	17.9188	18	1810043G02Rik	Protein coding
1810046J19Rik	54.2365	50.3246	56.258	53.1569	46.9945	65.4743	56.9551	58.0929	78.9724	71.638	83.64	113.066	18	1810046J19Rik	Protein coding
1810058I24Rik	14.1855	9.22714	12.1642	14.3943	8.07813	12.1618	14.6164	7.5759	14.5003	14.417	5.72723	20.8876	14	1810058I24Rik	Protein coding
2010002N04Rik	0.409877	0.250081	0.65876	0.393456	0.361579	0.533011	0.713558	0.288928	0.541201	1.40034	0.220181	0.655942	17	2010002N04Rik	Protein coding
2010011I20Rik	21.1535	2.93547	4.7303	13.7513	2.92315	1.8945	7.2122	1.87253	2.18296	5.15276	1.41569	2.09818	10	2010011I20Rik	Protein coding
2010012O05Rik	4.27677	2.43642	1.99969	4.78645	2.82806	2.66181	6.06165	4.58506	3.5786	7.23965	6.02637	3.32853	17	2010012O05Rik	Protein coding
2010015L04Rik	0.620998	0.769758	0.844135	0.704195	1.10141	1.11056	1.13214	1.47382	1.99792	0.987172	0.993178	1.03116	17	2010015L04Rik	Protein coding
2010106G01Rik	15.2576	15.6631	17.4174	13.4948	13.907	12.686	11.4247	11.5663	10.2299	8.24369	9.63586	9.91759	19	2010106G01Rik	Protein coding
2010107E04Rik	105.911	104.548	112.078	101.913	97.4677	131.784	113.434	112.114	159.605	132.554	136.586	209.01	18	2010107E04Rik	Protein coding
2010107G23Rik	11.6863	32.2042	24.6755	14.1691	26.8257	36.4302	17.3292	31.4038	35.5732	19.7571	30.7473	32.2971	12	2010107G23Rik	Protein coding
2010109K11Rik	9.64363	9.42324	8.49329	10.5317	9.23455	7.62046	12.0229	10.9584	7.64361	9.07526	9.30146	5.49606	13	2010109K11Rik	Protein coding
2010300C02Rik	0.095186	0.431189	0.0527688	0.187958	0.533689	0.453515	0.55775	0.563904	1.8455	1.3489	1.99985	3.57887	16	2010300C02Rik	Protein coding
2010315B03Rik	2.802	1.46244	1.29461	5.23107	2.53739	2.28228	6.27818	4.25093	3.20929	2.57105	1.9665	1.21735	15	2010315B03Rik	Protein coding
2200002K05Rik	0.524517	0.827953	0.467637	1.12868	2.35084	2.23946	3.32619	4.8958	6.16937	6.75769	7.39376	9.28443	16	2200002K05Rik	Protein coding
2210012G02Rik	6.35462	8.30203	7.57733	7.34097	7.85183	7.61714	7.66554	7.40875	7.57239	4.90891	4.57573	4.74011	19	2210012G02Rik	Protein coding
2210013O21Rik	9.1087	15.3103	12.6916	10.9293	15.3844	13.1947	12.705	17.855	15.5378	16.4094	19.6346	19.9091	18	2210013O21Rik	Protein coding
2210016F16Rik	4.38597	1.94221	2.84727	3.18163	1.91269	2.58436	2.81695	2.7277	3.30485	3.00794	3.09483	2.88287	15	2210016F16Rik	Protein coding
2210016L21Rik	36.5832	43.364	41.1731	41.5766	42.6761	43.9788	46.3027	51.9137	49.5482	59.4118	68.9857	71.5104	18	2210016L21Rik	Protein coding
2210018M11Rik	26.4885	26.3788	25.8941	25.0415	24.8097	18.7118	19.6641	19.7041	13.4109	12.1184	11.9533	7.26719	19	2210018M11Rik	Protein coding
2210411K11Rik	1.218	0.300382	0.825307	1.35752	0.711602	1.86495	1.75224	0.993741	2.16885	4.45011	2.98732	5.59627	16	2210411K11Rik	Protein coding
2310001A20Rik	15.6488	16.0845	17.0516	15.2121	14.9414	16.8001	14.9224	14.1662	15.9752	25.2826	20.5425	28.6697	18	2310001A20Rik	Protein coding
2310003F16Rik	60.5226	48.597	52.268	58.0447	45.7143	67.027	53.8079	52.6202	79.1547	62.449	67.0345	102.832	18	2310003F16Rik	Protein coding
2310003H01Rik	22.7937	20.6165	20.8748	24.1516	19.1098	29.1144	30.6156	23.5604	41.8222	34.3832	27.7559	59.0886	14	2310003H01Rik	Protein coding
2310003L22Rik	10.1885	4.6786	5.44456	11.8797	4.97345	9.90032	9.93936	5.34718	11.2452	9.48567	5.90434	12.8965	15	2310003L22Rik	Protein coding
2310004I24Rik	9.36918	10.6806	9.79352	8.51815	10.0476	7.95149	7.87808	8.76867	7.51607	4.88825	6.75648	5.94128	19	2310004I24Rik	Protein coding
2310005E10Rik	0.0946612	0.0812718	0.0566659	1.46993e-05	0.107321	0	0.299861	0.0633862	0.0303855	7.38246e-05	7.31807e-07	0.0123897	-1	2310005E10Rik	Protein coding
2310008H09Rik	22.6204	21.0299	23.8892	16.8638	16.5741	20.8457	13.9042	13.6495	20.2205	14.4971	14.0527	19.0643	19	2310008H09Rik	Protein coding
2310014H01Rik	47.956	29.7171	32.7451	46.1629	21.9521	31.4267	41.3943	24.206	34.002	30.0057	15.7369	27.4578	15	2310014H01Rik	Protein coding
2310021P13Rik	58.5869	60.3696	62.5147	52.9274	55.4589	50.4461	48.2848	50.6987	42.828	51.4933	52.2563	38.256	19	2310021P13Rik	Protein coding
2310022B05Rik	47.4529	30.1791	38.2301	47.3516	31.1819	44.9116	49.4299	40.0424	42.7639	67.2093	47.0912	38.0479	8	2310022B05Rik	Protein coding
2310028H24Rik	32.3418	29.205	27.4702	33.0618	30.9867	43.1255	40.1769	39.0952	57.4991	58.4048	58.4332	71.3515	18	2310028H24Rik	Protein coding
2310028O11Rik	20.1657	19.2334	21.3959	17.8935	17.6961	22.3837	17.2914	17.2523	20.4795	25.3552	27.7098	29.4411	18	2310028O11Rik	Protein coding
2310033P09Rik	8.50532	5.67179	7.71703	7.49777	5.06838	6.059	5.36365	3.81815	5.75391	3.65056	3.38049	5.61735	19	2310033P09Rik	Protein coding
2310037I24Rik	81.8633	62.6967	69.6884	71.0492	55.7685	60.2871	64.8353	54.1186	47.9644	51.8297	44.1794	41.6566	19	2310037I24Rik	Protein coding
2310039H08Rik	4.85712	4.29917	4.44464	4.97633	3.64547	4.44686	5.27882	3.68587	4.1313	9.16343	8.42466	11.1297	18	2310039H08Rik	Protein coding
2310042D19Rik	4.76279	5.73672	5.43646	4.88499	4.85272	4.41948	4.7102	4.07039	3.04531	4.03989	3.84331	2.24292	19	2310042D19Rik	Protein coding
2310044G17Rik	28.0701	31.8511	32.7666	21.4864	26.341	27.159	18.0111	21.6928	20.835	11.5758	14.2267	14.447	19	2310044G17Rik	Protein coding
2310044H10Rik	47.773	34.0482	43.5734	45.9146	39.8162	53.8861	48.0314	42.8506	51.9592	77.9122	65.695	91.6986	18	2310044H10Rik	Protein coding
2310046A06Rik	1.58836	10.5362	3.35485	8.62526	10.2296	11.7026	21.2028	14.7042	15.106	25.1247	16.0918	14.2329	17	2310046A06Rik	Protein coding
2400001E08Rik	38.9105	34.6842	38.6719	34.9182	34.0704	43.7969	35.3789	37.0563	45.8465	50.7821	52.1254	62.9178	18	2400001E08Rik	Protein coding
2410002O22Rik	15.5033	19.3309	18.0829	14.0088	18.56	17.79	13.9301	18.6509	17.0989	9.93282	14.8831	13.2642	13	2410002O22Rik	Protein coding
2410003K15Rik	7.59999	7.06629	7.40864	7.768	8.2881	7.31052	7.28727	7.72267	9.08487	12.1716	12.8233	15.9939	18	2410003K15Rik	Protein coding
2410015M20Rik	23.7886	17.7947	22.6085	20.0154	16.4266	19.3464	17.5106	19.0276	21.6573	23.4661	26.4931	34.7718	18	2410015M20Rik	Protein coding
2410016O06Rik	10.2066	7.01738	7.80227	7.26209	5.4365	7.49146	7.13845	6.19643	6.95547	9.31235	7.92818	9.35051	8	2410016O06Rik	Protein coding
2410022L05Rik	15.331	10.89	13.0405	14.1536	11.0549	17.4309	17.5171	13.7262	24.4624	19.4759	15.1679	27.8438	14	2410022L05Rik	Protein coding
2410066E13Rik	59.3584	84.4694	90.6903	74.263	65.8859	46.3746	67.8129	57.1503	55.6571	73.052	49.8225	50.2356	19	2410066E13Rik	Protein coding
2410089E03Rik	18.2794	20.2905	21.1622	18.6471	20.1483	15.7323	14.5351	14.8363	12.6901	12.0467	12.3177	9.66502	19	2410089E03Rik	Protein coding
2410091C18Rik	9.84176	12.596	12.8633	11.693	14.881	15.7027	12.5393	15.3572	16.2349	12.0513	13.665	19.1277	18	2410091C18Rik	Protein coding
2410127L17Rik	4.22055	4.73376	5.43771	3.18162	4.66397	6.16932	3.12556	3.10417	4.84645	2.21784	3.16908	3.82977	19	2410127L17Rik	Protein coding
2410131K14Rik	14.3693	8.32686	11.6208	12.2257	7.76261	9.88668	10.836	8.46767	11.8531	13.8643	10.5102	14.5411	8	2410131K14Rik	Protein coding
2510006D16Rik	32.0913	28.9709	30.1066	32.4216	29.2493	29.6739	31.6744	32.7218	32.6885	55.748	52.803	61.1818	18	2510006D16Rik	Protein coding
2510009E07Rik	10.8761	6.61971	7.93095	16.4503	8.9538	10.5526	19.12	7.33379	13.5832	24.8519	6.0737	14.2809	15	2510009E07Rik	Protein coding
2510039O18Rik	12.862	10.1756	11.4287	10.7014	9.71325	11.5996	10.1464	9.38092	12.0092	19.1664	15.2354	20.463	18	2510039O18Rik	Protein coding
2510049J12Rik	1.96974	2.60398	2.44944	2.20265	2.33806	2.09136	2.00003	1.83603	1.23565	1.38934	1.19542	0.884595	19	2510049J12Rik	Protein coding
2610001J05Rik	15.7737	4.32076	14.1157	14.8753	4.34709	14.1507	15.7374	6.75716	23.1321	14.903	7.16829	26.774	4	2610001J05Rik	Protein coding
2610002J02Rik	26.5737	19.2173	21.0468	24.4223	19.617	22.2718	22.7814	19.515	17.605	19.2595	13.5935	14.5752	19	2610002J02Rik	Protein coding
2610002M06Rik	4.69758	6.91794	4.47394	5.38343	7.79476	4.80871	7.72931	10.2785	7.18774	6.48832	10.9468	6.75709	17	2610002M06Rik	Protein coding
2610008E11Rik	20.4785	24.8186	23.8351	22.2749	25.5556	19.3618	19.7008	22.1991	16.5192	11.4143	12.362	9.03105	19	2610008E11Rik	Protein coding
2610019F03Rik	0.752232	0.999177	1.18644	0.586922	0.826489	1.93745	1.0245	0.950134	2.33128	0.954623	0.75437	1.29249	11	2610019F03Rik	Protein coding
2610020H08Rik	0.820572	1.51708	1.93442	0.664352	2.10222	1.2993	0.611125	1.4067	1.07255	0.359454	0.653414	0.840021	3	2610020H08Rik	Protein coding
2610029I01Rik	3.10161	3.97019	3.2934	2.55398	4.33367	2.44491	2.94016	5.81078	3.87676	2.26328	3.26167	2.67562	12	2610029I01Rik	Protein coding
2610042L04Rik	26.5739	27.5419	24.8187	50.6794	56.5436	46.5809	55.5612	54.5954	45.5078	15.3065	15.0639	11.0335	19	2610042L04Rik	Protein coding
2610109H07Rik	68.7478	66.2443	107.892	72.3353	62.3636	68.6189	58.2542	50.9361	74.2441	41.1868	29.0138	70.3233	19	2610109H07Rik	Protein coding
2610203C20Rik	216.453	205.857	227.498	157.181	161.012	103.403	124.228	151.935	72.0972	41.5857	49.0466	33.4377	19	2610203C20Rik	Protein coding
2610301B20Rik	12.2923	19.4284	15.4977	11.9789	17.3323	15.7235	11.4896	17.0687	15.1478	6.23477	10.2682	8.43374	13	2610301B20Rik	Protein coding
2610305D13Rik	0.302099	0.404434	0.577677	0.682252	0.937832	1.44791	0.307804	0.31885	0.601928	0.0980634	0.130593	0.17132	16	2610305D13Rik	Protein coding
2610318N02Rik	5.29019	4.03042	4.28239	4.13887	2.30965	2.4946	3.24786	2.14973	2.05893	1.70349	1.30847	1.38712	19	2610318N02Rik	Protein coding
2610507B11Rik	27.4256	22.8736	26.5682	23.4045	21.2849	21.4026	20.2548	20.1367	18.2988	21.4777	21.8288	16.196	19	2610507B11Rik	Protein coding
2610524H06Rik	44.878	48.0789	43.8995	48.6668	51.6859	57.6931	53.2708	60.5077	63.5903	75.4403	91.8558	97.9616	18	2610524H06Rik	Protein coding
2610528E23Rik	4.00318	5.56116	5.06472	4.97722	8.35957	5.93067	5.77205	8.12417	7.21038	7.46386	10.6605	11.6466	18	2610528E23Rik	Protein coding
2700049A03Rik	9.62999	8.74092	10.0803	8.07815	7.5932	5.57701	5.7942	5.40333	3.69039	2.52394	2.48425	1.86202	19	2700049A03Rik	Protein coding
2700050L05Rik	11.6117	9.43949	16.5338	9.98268	9.21638	9.5087	7.92906	7.81763	7.04673	5.2176	5.21575	4.49766	19	2700050L05Rik	Protein coding
2700078E11Rik	11.8541	14.9419	13.3778	12.1085	13.4933	12.8088	10.9262	10.6499	11.8093	8.77424	8.85117	8.86132	19	2700078E11Rik	Protein coding
2700089E24Rik	12.5024	9.86011	8.56017	13.801	12.2495	11.1732	16.8422	15.0772	14.9886	19.6244	17.0885	16.3401	8	2700089E24Rik	Protein coding
2810002D19Rik	1.12292	1.74477	1.21813	1.21023	1.9471	1.2446	1.8912	2.5527	2.14698	0.769959	1.23862	0.967748	19	2810002D19Rik	Protein coding
2810002N01Rik	13.3745	10.4333	12.2386	12.9846	11.0701	14.9479	11.5378	11.0284	13.7518	18.0605	15.8481	21.0535	18	2810002N01Rik	Protein coding
2810008M24Rik	41.6282	7.6824	21.0687	20.2192	6.42236	8.30593	8.33089	4.91782	8.46646	5.03649	4.4837	6.89098	10	2810008M24Rik	Protein coding
2810021B07Rik	5.65606	4.54365	4.9028	6.28254	5.30052	5.47044	5.58606	5.57457	4.97013	3.30099	3.15665	3.23545	19	2810021B07Rik	Protein coding
2810030E01Rik	7.77697	6.97309	8.01016	7.9853	2.80119	4.2961	6.5177	2.5551	3.46935	8.43789	3.08215	3.72577	10	2810030E01Rik	Protein coding
2810046L04Rik	29.7409	21.3489	21.9829	29.546	19.3842	12.6378	22.7141	12.6301	8.94762	20.764	10.3101	6.02246	19	2810046L04Rik	Protein coding
2810055F11Rik	3.45902	1.57984	2.81586	3.2085	1.99555	1.31649	4.38387	3.79275	2.25628	2.824	2.13153	1.28906	15	2810055F11Rik	Protein coding
2810055G20Rik	2.85024	2.59176	3.63804	2.37715	2.90463	1.98876	2.75006	4.95799	2.15276	2.74849	2.90776	1.92789	12	2810055G20Rik	Protein coding
2810405K02Rik	10.4203	7.63221	9.06345	9.64904	8.39525	10.6096	12.0991	10.9448	15.1081	14.0409	12.9367	19.4302	14	2810405K02Rik	Protein coding
2810407C02Rik	21.2213	22.4914	22.0728	18.0341	23.6993	23.9872	20.6273	27.8371	33.9117	31.3216	44.9242	58.6863	18	2810407C02Rik	Protein coding
2810408A11Rik	12.2518	9.36512	13.1315	11.3858	8.01933	7.27615	7.66597	6.06794	3.77659	5.5108	5.14251	2.99424	19	2810408A11Rik	Protein coding
2810422O20Rik	1.43514	2.66674	2.27669	1.4572	2.73878	2.1558	1.39143	2.81481	2.17268	0.663267	1.29942	1.3514	19	2810422O20Rik	Protein coding
2810428I15Rik	20.9399	16.8174	20.9959	21.2171	19.1138	25.0962	24.2286	19.6469	28.7264	28.0137	30.9221	42.8967	18	2810428I15Rik	Protein coding
2810432D09Rik	12.0051	5.41247	8.91579	11.1643	6.18945	10.3167	14.3353	12.9696	17.6389	10.4109	9.78864	15.9018	14	2810432D09Rik	Protein coding
