id,cluster,E15_cpn,E16_cpn,E18_cpn,P1_cpn,E15_subcereb,E16_subcereb,E18_subcereb,P1_subcereb,E15_corticothal,E16_corticothal,E18_corticothal,P1_corticothal,gene_type
1190005F20Rik,19,10.8353,10.519,7.43396,2.3045,11.5961,12.173,8.50402,2.54898,12.182,11.797,8.48653,2.85291,Protein coding
1190005I06Rik,11,3.61068,5.24625,7.0744,5.12545,7.02852,11.0563,15.5553,17.1783,10.3002,9.44242,9.19494,7.54922,Protein coding
1200016B10Rik,19,4.6504,3.33711,4.30328,1.61294,5.66867,4.10937,4.94344,1.68141,6.23755,5.12264,6.36934,2.25124,Protein coding
1300002K09Rik,10,0.717012,1.06613,0.752691,0.383945,0.263634,0.257767,0.316804,0.09082,0.17054,0.174086,0.262123,0.283424,Protein coding
1300010F03Rik,17,2.94474,3.21402,2.93155,3.80178,1.83309,2.01361,2.38965,3.40121,2.14218,2.73933,3.36755,3.57963,Protein coding
1500002O20Rik,8,18.4415,19.2093,19.732,23.9835,16.4844,18.8101,17.6475,21.732,17.1376,18.893,22.3946,30.9068,Protein coding
1500009L16Rik,17,2.84887,3.86275,7.65127,10.2484,3.52805,4.17594,7.42023,9.38963,4.96475,4.46154,5.41114,9.29849,Protein coding
1500011K16Rik,18,1.78328,2.63682,4.29618,5.85683,1.63795,2.81258,5.20587,6.93998,1.78375,2.03761,3.76577,5.02346,Protein coding
1500012F01Rik,19,70.3716,63.3577,55.1144,31.3381,95.4262,55.1301,37.878,24.1901,126.321,88.7431,59.5149,24.114,Protein coding
1500031L02Rik,18,8.33323,10.7715,12.2463,12.17,11.7796,13.3286,15.3168,17.6061,13.1453,13.247,14.4145,14.9266,Protein coding
1500032L24Rik,18,62.6463,58.401,63.4123,91.1225,65.4893,72.8246,85.769,113.509,59.7278,58.1904,64.6739,90.8045,Protein coding
1520402A15Rik,17,0.573275,0.983872,1.15415,1.85565,0.626095,0.6266,0.788598,2.27112,0.732629,1.00718,1.72195,3.40485,Protein coding
1600014C10Rik,19,2.39882,2.14886,2.07636,1.66191,2.1468,2.30784,3.41127,2.58094,1.84201,1.82411,2.10416,1.28993,Protein coding
1600021P15Rik,11,9.5985,14.6663,21.8928,33.0038,29.4147,41.1158,58.3537,61.7954,34.7338,31.4311,34.4889,37.6895,Protein coding
1700001L19Rik,16,0.0630548,0.380944,1.31344,1.49094,0.204432,0.598648,2.31297,3.3664,0.429488,0.592725,1.87979,3.32668,Protein coding
1700001O22Rik,10,4.1415,1.82741,1.28887,0.90252,3.89064,0.942861,1.16485,1.21371,1.2365,0.942102,1.26611,1.08621,Protein coding
1700003E16Rik,16,0.146021,0.528811,1.32294,2.13652,0.75522,1.93405,4.21899,4.84903,1.67674,1.72244,3.09832,3.63091,Protein coding
1700003M02Rik,16,0.0260826,0.132081,0.677079,1.21623,0.0257765,0.157908,1.00568,1.54322,0.0219398,0.190463,0.552872,1.04118,Protein coding
1700007K13Rik,9,0.0509216,0,0.0201269,0.0997651,0,0.0536575,0.07295,0.324476,0.0395962,0.0181633,0.135055,0.588628,Protein coding
1700012A16Rik,16,0.149468,0.350935,0.616543,0.640853,0.244197,0.536572,0.835932,1.31061,0.190612,0.343291,0.402821,0.55852,Protein coding
1700016K19Rik,16,0,0,0.137231,0.186418,0,0.193304,1.49267,3.13539,0.0291414,0.0977362,0.391386,1.8714,Protein coding
1700019D03Rik,16,0,0.10285,0.412689,0.596295,0.317817,3.26285,2.90717,1.83639,0.23348,0.954015,1.40465,1.70301,Protein coding
1700019E19Rik,15,17.0643,13.5278,10.9173,7.79428,10.7148,10.7632,9.75499,5.97812,7.20001,6.24766,7.8437,6.47322,Protein coding
1700019G17Rik,19,1.82122,1.89952,1.89284,1.30859,2.79953,2.78116,3.05398,2.14058,2.08149,1.92733,2.27896,1.25539,Protein coding
1700025G04Rik,13,7.19975,6.84883,6.29667,4.65815,5.56406,6.01209,5.68407,4.08821,6.90171,7.35673,6.78577,6.4289,Protein coding
1700029F09Rik,19,7.24188,5.33813,4.26719,3.01368,4.97913,4.29231,3.01,2.77857,5.194,2.81335,3.71235,3.1126,Protein coding
1700029I01Rik,19,1.4631,1.24207,0.79432,0.253734,1.07206,1.33685,0.754789,0.291431,1.27017,1.67751,0.422307,0.240014,Protein coding
1700029J07Rik,12,1.66323,2.61224,3.15016,3.15697,3.16658,3.56387,3.8311,4.54471,3.47351,4.45173,5.28763,4.8173,Protein coding
1700030J22Rik,11,1.55543,1.64424,1.81143,1.28871,1.84601,2.84953,3.83328,3.04923,2.12705,1.84087,1.95309,1.47008,Protein coding
1700034H14Rik,19,11.5824,10.5949,8.26722,3.91675,10.3563,9.32447,6.9246,3.82652,9.54576,10.8931,10.318,4.21112,Protein coding
1700037H04Rik,14,31.5494,32.4028,30.599,23.1989,26.3813,38.5956,41.725,49.3943,21.5455,21.4106,21.3709,19.3204,Protein coding
1700040L02Rik,16,0,0,0,0,0,0.0106039,0.130756,0.279145,0,0,0,0.0141634,Protein coding
1700045I19Rik,9,0,0.0224068,0.164526,0.309961,0.0598846,0.0932635,0.271508,0.174611,0.354294,0.477489,0.899979,1.02478,Protein coding
1700048O20Rik,17,10.673,11.0161,14.6254,18.3549,11.0074,11.0555,11.7821,13.9551,10.1389,12.5271,18.0574,23.1953,Protein coding
1700049G17Rik,19,3.99877,4.43232,3.8782,1.80813,4.78031,4.05085,3.31969,1.33682,4.80285,4.84771,3.67655,1.86403,Protein coding
1700057K13Rik,4,0.0812213,0.0779268,0.0175418,0.255129,0.0535639,0.0640089,0,0.295462,0.0495955,0.051496,0,0.183131,Protein coding
1700066M21Rik,10,19.1607,14.3271,11.6765,13.9166,3.909,5.2143,6.09224,8.93343,4.36562,4.26457,4.51283,6.36942,Protein coding
1700081L11Rik,19,42.9193,39.9262,33.0653,29.1038,45.1155,36.1229,27.5352,21.0846,45.6203,38.2162,31.701,27.2781,Protein coding
1700086L19Rik,17,5.3267,11.1606,12.595,30.7068,5.51191,14.1394,13.9487,22.6803,3.27318,7.51922,11.0247,19.3369,Protein coding
1700094D03Rik,19,7.73346,5.92095,5.17065,4.34058,9.65432,6.29272,4.03348,2.66394,9.34152,7.52099,6.769,4.73066,Protein coding
1700102P08Rik,19,5.27005,4.84582,4.4246,2.30024,5.86714,5.10295,3.86358,2.54259,6.78079,5.2396,4.54146,2.89957,Protein coding
1810011O10Rik,3,2.5987,1.52363,0.816385,0.170874,6.09684,3.15039,2.05825,1.72285,5.88699,3.49769,2.44054,1.14535,Protein coding
1810012P15Rik,4,2.88029,4.26129,3.61651,4.41859,2.95534,5.20995,6.16262,6.19769,0.76222,0.859685,0.74189,0.755821,Protein coding
1810013D10Rik,18,10.9178,10.1087,9.68289,11.7576,11.1517,11.0824,13.2557,17.1456,7.07375,9.58461,9.12718,10.0453,Protein coding
1810013L24Rik,19,19.633,17.3376,14.8301,5.17262,19.0653,19.288,18.026,5.74867,19.9413,17.1758,14.7176,5.67193,Protein coding
1810027O10Rik,18,33.9023,31.6133,32.9578,43.3156,30.5849,32.571,39.7505,57.1711,24.0719,22.1539,26.2105,40.953,Protein coding
1810041L15Rik,7,0.824562,1.05694,0.736035,1.05182,6.29965,1.15007,1.2651,2.76139,4.7107,2.34253,2.00125,1.89361,Protein coding
1810043G02Rik,18,8.46855,10.4652,11.8101,14.5823,10.5633,11.4029,13.755,17.9188,11.3347,10.8142,12.1713,13.6801,Protein coding
1810046J19Rik,18,54.2365,53.1569,56.9551,71.638,56.258,65.4743,78.9724,113.066,50.3246,46.9945,58.0929,83.64,Protein coding
1810058I24Rik,14,14.1855,14.3943,14.6164,14.417,12.1642,12.1618,14.5003,20.8876,9.22714,8.07813,7.5759,5.72723,Protein coding
2010002N04Rik,17,0.409877,0.393456,0.713558,1.40034,0.65876,0.533011,0.541201,0.655942,0.250081,0.361579,0.288928,0.220181,Protein coding
2010011I20Rik,10,21.1535,13.7513,7.2122,5.15276,4.7303,1.8945,2.18296,2.09818,2.93547,2.92315,1.87253,1.41569,Protein coding
2010012O05Rik,17,4.27677,4.78645,6.06165,7.23965,1.99969,2.66181,3.5786,3.32853,2.43642,2.82806,4.58506,6.02637,Protein coding
2010015L04Rik,17,0.620998,0.704195,1.13214,0.987172,0.844135,1.11056,1.99792,1.03116,0.769758,1.10141,1.47382,0.993178,Protein coding
2010106G01Rik,19,15.2576,13.4948,11.4247,8.24369,17.4174,12.686,10.2299,9.91759,15.6631,13.907,11.5663,9.63586,Protein coding
2010107E04Rik,18,105.911,101.913,113.434,132.554,112.078,131.784,159.605,209.01,104.548,97.4677,112.114,136.586,Protein coding
2010107G23Rik,12,11.6863,14.1691,17.3292,19.7571,24.6755,36.4302,35.5732,32.2971,32.2042,26.8257,31.4038,30.7473,Protein coding
2010109K11Rik,13,9.64363,10.5317,12.0229,9.07526,8.49329,7.62046,7.64361,5.49606,9.42324,9.23455,10.9584,9.30146,Protein coding
2010300C02Rik,16,0.095186,0.187958,0.55775,1.3489,0.0527688,0.453515,1.8455,3.57887,0.431189,0.533689,0.563904,1.99985,Protein coding
2010315B03Rik,15,2.802,5.23107,6.27818,2.57105,1.29461,2.28228,3.20929,1.21735,1.46244,2.53739,4.25093,1.9665,Protein coding
2200002K05Rik,16,0.524517,1.12868,3.32619,6.75769,0.467637,2.23946,6.16937,9.28443,0.827953,2.35084,4.8958,7.39376,Protein coding
2210012G02Rik,19,6.35462,7.34097,7.66554,4.90891,7.57733,7.61714,7.57239,4.74011,8.30203,7.85183,7.40875,4.57573,Protein coding
2210013O21Rik,18,9.1087,10.9293,12.705,16.4094,12.6916,13.1947,15.5378,19.9091,15.3103,15.3844,17.855,19.6346,Protein coding
2210016F16Rik,15,4.38597,3.18163,2.81695,3.00794,2.84727,2.58436,3.30485,2.88287,1.94221,1.91269,2.7277,3.09483,Protein coding
2210016L21Rik,18,36.5832,41.5766,46.3027,59.4118,41.1731,43.9788,49.5482,71.5104,43.364,42.6761,51.9137,68.9857,Protein coding
2210018M11Rik,19,26.4885,25.0415,19.6641,12.1184,25.8941,18.7118,13.4109,7.26719,26.3788,24.8097,19.7041,11.9533,Protein coding
2210411K11Rik,16,1.218,1.35752,1.75224,4.45011,0.825307,1.86495,2.16885,5.59627,0.300382,0.711602,0.993741,2.98732,Protein coding
2310001A20Rik,18,15.6488,15.2121,14.9224,25.2826,17.0516,16.8001,15.9752,28.6697,16.0845,14.9414,14.1662,20.5425,Protein coding
2310003F16Rik,18,60.5226,58.0447,53.8079,62.449,52.268,67.027,79.1547,102.832,48.597,45.7143,52.6202,67.0345,Protein coding
2310003H01Rik,14,22.7937,24.1516,30.6156,34.3832,20.8748,29.1144,41.8222,59.0886,20.6165,19.1098,23.5604,27.7559,Protein coding
2310003L22Rik,15,10.1885,11.8797,9.93936,9.48567,5.44456,9.90032,11.2452,12.8965,4.6786,4.97345,5.34718,5.90434,Protein coding
2310004I24Rik,19,9.36918,8.51815,7.87808,4.88825,9.79352,7.95149,7.51607,5.94128,10.6806,10.0476,8.76867,6.75648,Protein coding
2310005E10Rik,-1,0.0946612,1.47E-05,0.299861,7.38E-05,0.0566659,0,0.0303855,0.0123897,0.0812718,0.107321,0.0633862,7.32E-07,Protein coding
2310008H09Rik,19,22.6204,16.8638,13.9042,14.4971,23.8892,20.8457,20.2205,19.0643,21.0299,16.5741,13.6495,14.0527,Protein coding
2310014H01Rik,15,47.956,46.1629,41.3943,30.0057,32.7451,31.4267,34.002,27.4578,29.7171,21.9521,24.206,15.7369,Protein coding
2310021P13Rik,19,58.5869,52.9274,48.2848,51.4933,62.5147,50.4461,42.828,38.256,60.3696,55.4589,50.6987,52.2563,Protein coding
2310022B05Rik,8,47.4529,47.3516,49.4299,67.2093,38.2301,44.9116,42.7639,38.0479,30.1791,31.1819,40.0424,47.0912,Protein coding
2310028H24Rik,18,32.3418,33.0618,40.1769,58.4048,27.4702,43.1255,57.4991,71.3515,29.205,30.9867,39.0952,58.4332,Protein coding
2310028O11Rik,18,20.1657,17.8935,17.2914,25.3552,21.3959,22.3837,20.4795,29.4411,19.2334,17.6961,17.2523,27.7098,Protein coding
2310033P09Rik,19,8.50532,7.49777,5.36365,3.65056,7.71703,6.059,5.75391,5.61735,5.67179,5.06838,3.81815,3.38049,Protein coding
2310037I24Rik,19,81.8633,71.0492,64.8353,51.8297,69.6884,60.2871,47.9644,41.6566,62.6967,55.7685,54.1186,44.1794,Protein coding
2310039H08Rik,18,4.85712,4.97633,5.27882,9.16343,4.44464,4.44686,4.1313,11.1297,4.29917,3.64547,3.68587,8.42466,Protein coding
2310042D19Rik,19,4.76279,4.88499,4.7102,4.03989,5.43646,4.41948,3.04531,2.24292,5.73672,4.85272,4.07039,3.84331,Protein coding
2310044G17Rik,19,28.0701,21.4864,18.0111,11.5758,32.7666,27.159,20.835,14.447,31.8511,26.341,21.6928,14.2267,Protein coding
2310044H10Rik,18,47.773,45.9146,48.0314,77.9122,43.5734,53.8861,51.9592,91.6986,34.0482,39.8162,42.8506,65.695,Protein coding
2310046A06Rik,17,1.58836,8.62526,21.2028,25.1247,3.35485,11.7026,15.106,14.2329,10.5362,10.2296,14.7042,16.0918,Protein coding
2400001E08Rik,18,38.9105,34.9182,35.3789,50.7821,38.6719,43.7969,45.8465,62.9178,34.6842,34.0704,37.0563,52.1254,Protein coding
2410002O22Rik,13,15.5033,14.0088,13.9301,9.93282,18.0829,17.79,17.0989,13.2642,19.3309,18.56,18.6509,14.8831,Protein coding
2410003K15Rik,18,7.59999,7.768,7.28727,12.1716,7.40864,7.31052,9.08487,15.9939,7.06629,8.2881,7.72267,12.8233,Protein coding
2410015M20Rik,18,23.7886,20.0154,17.5106,23.4661,22.6085,19.3464,21.6573,34.7718,17.7947,16.4266,19.0276,26.4931,Protein coding
2410016O06Rik,8,10.2066,7.26209,7.13845,9.31235,7.80227,7.49146,6.95547,9.35051,7.01738,5.4365,6.19643,7.92818,Protein coding
2410022L05Rik,14,15.331,14.1536,17.5171,19.4759,13.0405,17.4309,24.4624,27.8438,10.89,11.0549,13.7262,15.1679,Protein coding
2410066E13Rik,19,59.3584,74.263,67.8129,73.052,90.6903,46.3746,55.6571,50.2356,84.4694,65.8859,57.1503,49.8225,Protein coding
2410089E03Rik,19,18.2794,18.6471,14.5351,12.0467,21.1622,15.7323,12.6901,9.66502,20.2905,20.1483,14.8363,12.3177,Protein coding
2410091C18Rik,18,9.84176,11.693,12.5393,12.0513,12.8633,15.7027,16.2349,19.1277,12.596,14.881,15.3572,13.665,Protein coding
2410127L17Rik,19,4.22055,3.18162,3.12556,2.21784,5.43771,6.16932,4.84645,3.82977,4.73376,4.66397,3.10417,3.16908,Protein coding
2410131K14Rik,8,14.3693,12.2257,10.836,13.8643,11.6208,9.88668,11.8531,14.5411,8.32686,7.76261,8.46767,10.5102,Protein coding
2510006D16Rik,18,32.0913,32.4216,31.6744,55.748,30.1066,29.6739,32.6885,61.1818,28.9709,29.2493,32.7218,52.803,Protein coding
2510009E07Rik,15,10.8761,16.4503,19.12,24.8519,7.93095,10.5526,13.5832,14.2809,6.61971,8.9538,7.33379,6.0737,Protein coding
2510039O18Rik,18,12.862,10.7014,10.1464,19.1664,11.4287,11.5996,12.0092,20.463,10.1756,9.71325,9.38092,15.2354,Protein coding
2510049J12Rik,19,1.96974,2.20265,2.00003,1.38934,2.44944,2.09136,1.23565,0.884595,2.60398,2.33806,1.83603,1.19542,Protein coding
2610001J05Rik,4,15.7737,14.8753,15.7374,14.903,14.1157,14.1507,23.1321,26.774,4.32076,4.34709,6.75716,7.16829,Protein coding
2610002J02Rik,19,26.5737,24.4223,22.7814,19.2595,21.0468,22.2718,17.605,14.5752,19.2173,19.617,19.515,13.5935,Protein coding
2610002M06Rik,17,4.69758,5.38343,7.72931,6.48832,4.47394,4.80871,7.18774,6.75709,6.91794,7.79476,10.2785,10.9468,Protein coding
2610008E11Rik,19,20.4785,22.2749,19.7008,11.4143,23.8351,19.3618,16.5192,9.03105,24.8186,25.5556,22.1991,12.362,Protein coding
2610019F03Rik,11,0.752232,0.586922,1.0245,0.954623,1.18644,1.93745,2.33128,1.29249,0.999177,0.826489,0.950134,0.75437,Protein coding
2610020H08Rik,3,0.820572,0.664352,0.611125,0.359454,1.93442,1.2993,1.07255,0.840021,1.51708,2.10222,1.4067,0.653414,Protein coding
2610029I01Rik,12,3.10161,2.55398,2.94016,2.26328,3.2934,2.44491,3.87676,2.67562,3.97019,4.33367,5.81078,3.26167,Protein coding
2610042L04Rik,19,26.5739,50.6794,55.5612,15.3065,24.8187,46.5809,45.5078,11.0335,27.5419,56.5436,54.5954,15.0639,Protein coding
2610109H07Rik,19,68.7478,72.3353,58.2542,41.1868,107.892,68.6189,74.2441,70.3233,66.2443,62.3636,50.9361,29.0138,Protein coding
2610203C20Rik,19,216.453,157.181,124.228,41.5857,227.498,103.403,72.0972,33.4377,205.857,161.012,151.935,49.0466,Protein coding
2610301B20Rik,13,12.2923,11.9789,11.4896,6.23477,15.4977,15.7235,15.1478,8.43374,19.4284,17.3323,17.0687,10.2682,Protein coding
2610305D13Rik,16,0.302099,0.682252,0.307804,0.0980634,0.577677,1.44791,0.601928,0.17132,0.404434,0.937832,0.31885,0.130593,Protein coding
2610318N02Rik,19,5.29019,4.13887,3.24786,1.70349,4.28239,2.4946,2.05893,1.38712,4.03042,2.30965,2.14973,1.30847,Protein coding
2610507B11Rik,19,27.4256,23.4045,20.2548,21.4777,26.5682,21.4026,18.2988,16.196,22.8736,21.2849,20.1367,21.8288,Protein coding
2610524H06Rik,18,44.878,48.6668,53.2708,75.4403,43.8995,57.6931,63.5903,97.9616,48.0789,51.6859,60.5077,91.8558,Protein coding
2610528E23Rik,18,4.00318,4.97722,5.77205,7.46386,5.06472,5.93067,7.21038,11.6466,5.56116,8.35957,8.12417,10.6605,Protein coding
2700049A03Rik,19,9.62999,8.07815,5.7942,2.52394,10.0803,5.57701,3.69039,1.86202,8.74092,7.5932,5.40333,2.48425,Protein coding
2700050L05Rik,19,11.6117,9.98268,7.92906,5.2176,16.5338,9.5087,7.04673,4.49766,9.43949,9.21638,7.81763,5.21575,Protein coding
2700078E11Rik,19,11.8541,12.1085,10.9262,8.77424,13.3778,12.8088,11.8093,8.86132,14.9419,13.4933,10.6499,8.85117,Protein coding
2700089E24Rik,8,12.5024,13.801,16.8422,19.6244,8.56017,11.1732,14.9886,16.3401,9.86011,12.2495,15.0772,17.0885,Protein coding
2810002D19Rik,19,1.12292,1.21023,1.8912,0.769959,1.21813,1.2446,2.14698,0.967748,1.74477,1.9471,2.5527,1.23862,Protein coding
2810002N01Rik,18,13.3745,12.9846,11.5378,18.0605,12.2386,14.9479,13.7518,21.0535,10.4333,11.0701,11.0284,15.8481,Protein coding
2810008M24Rik,10,41.6282,20.2192,8.33089,5.03649,21.0687,8.30593,8.46646,6.89098,7.6824,6.42236,4.91782,4.4837,Protein coding
2810021B07Rik,19,5.65606,6.28254,5.58606,3.30099,4.9028,5.47044,4.97013,3.23545,4.54365,5.30052,5.57457,3.15665,Protein coding
2810030E01Rik,10,7.77697,7.9853,6.5177,8.43789,8.01016,4.2961,3.46935,3.72577,6.97309,2.80119,2.5551,3.08215,Protein coding
2810046L04Rik,19,29.7409,29.546,22.7141,20.764,21.9829,12.6378,8.94762,6.02246,21.3489,19.3842,12.6301,10.3101,Protein coding
2810055F11Rik,15,3.45902,3.2085,4.38387,2.824,2.81586,1.31649,2.25628,1.28906,1.57984,1.99555,3.79275,2.13153,Protein coding
2810055G20Rik,12,2.85024,2.37715,2.75006,2.74849,3.63804,1.98876,2.15276,1.92789,2.59176,2.90463,4.95799,2.90776,Protein coding
2810405K02Rik,14,10.4203,9.64904,12.0991,14.0409,9.06345,10.6096,15.1081,19.4302,7.63221,8.39525,10.9448,12.9367,Protein coding
2810407C02Rik,18,21.2213,18.0341,20.6273,31.3216,22.0728,23.9872,33.9117,58.6863,22.4914,23.6993,27.8371,44.9242,Protein coding
2810408A11Rik,19,12.2518,11.3858,7.66597,5.5108,13.1315,7.27615,3.77659,2.99424,9.36512,8.01933,6.06794,5.14251,Protein coding
2810422O20Rik,19,1.43514,1.4572,1.39143,0.663267,2.27669,2.1558,2.17268,1.3514,2.66674,2.73878,2.81481,1.29942,Protein coding
2810428I15Rik,18,20.9399,21.2171,24.2286,28.0137,20.9959,25.0962,28.7264,42.8967,16.8174,19.1138,19.6469,30.9221,Protein coding
2810432D09Rik,14,12.0051,11.1643,14.3353,10.4109,8.91579,10.3167,17.6389,15.9018,5.41247,6.18945,12.9696,9.78864,Protein coding
2810432L12Rik,18,8.4767,11.7132,20.2999,26.3644,11.2021,23.6454,33.9348,45.757,15.9731,19.4577,26.2711,32.0085,Protein coding
2810474O19Rik,19,7.86159,6.52905,4.92885,3.45823,6.97746,4.52708,3.96126,2.10719,6.34558,5.62943,5.09619,3.641,Protein coding
2900010J23Rik,18,78.5958,79.2793,82.0946,96.3444,72.2867,88.1274,109.364,134.484,68.3204,73.2422,80.5817,99.9837,Protein coding
2900010M23Rik,18,36.171,37.5829,43.6997,67.6905,34.5904,45.3707,59.4633,96.5366,28.6639,33.112,40.777,73.5622,Protein coding
2900011O08Rik,18,45.1929,47.8865,60.3625,68.2952,61.9057,64.3537,83.4435,92.6173,70.6026,68.7457,80.2531,88.8226,Protein coding
2900024O10Rik,17,1.86638,1.64253,2.98815,6.97342,1.27277,2.82679,3.20871,6.9651,1.98792,1.36148,2.45145,7.24467,Protein coding
2900026A02Rik,17,3.34714,2.53181,4.28326,11.3414,9.64855,4.5363,7.73187,13.1318,11.9067,9.83284,14.4203,23.9064,Protein coding
2900062L11Rik,17,14.8421,12.5263,15.9896,25.5974,24.7548,25.1256,28.2806,44.4261,23.2999,25.0712,30.4995,45.2347,Protein coding
2900064A13Rik,17,13.6981,12.9126,15.0669,31.0176,12.1125,13.0819,16.0292,37.0862,12.6708,13.16,16.276,38.6327,Protein coding
2900073G15Rik,15,8.86399,5.5678,4.5532,5.39366,6.84599,4.17638,3.54008,4.18592,5.6518,5.12526,4.27707,5.68006,Protein coding
2900083I11Rik,17,2.16818,8.99385,9.91605,10.3272,8.32782,7.14023,8.64964,5.21539,8.55462,14.0252,16.7238,24.0042,Protein coding
2900092D14Rik,10,48.1475,54.3765,53.5131,61.2223,23.7489,30.0539,31.3764,27.5088,4.98378,11.4588,20.3792,16.5714,Protein coding
3110003A17Rik,10,149.163,109.863,79.3513,45.6272,63.828,19.4682,21.6717,17.1185,28.6885,18.2494,20.4637,15.7747,Protein coding
3110035E14Rik,12,15.9567,19.7294,14.2219,12.3504,14.0152,12.3442,5.95299,5.25078,21.7329,23.0583,16.2483,17.4971,Protein coding
3110047P20Rik,4,0.0115577,6.82237,38.1129,40.7416,0.0329562,8.07916,24.5786,18.2703,0.0379329,0.343959,1.66158,0.703524,Protein coding
3110052M02Rik,19,10.5945,11.8893,9.44088,4.42956,11.9689,11.4081,7.99788,3.76086,11.778,11.7768,9.50802,4.64987,Protein coding
3110056O03Rik,18,9.63211,10.2401,11.5371,20.1305,11.2472,13.5263,15.3036,29.7887,13.3797,12.8002,15.188,22.7402,Protein coding
3110079O15Rik,4,0,0,0,0.239792,0,0,0.0823856,0.422331,0,0,0,0.198862,Protein coding
3110082I17Rik,18,4.52517,5.43797,5.39821,5.44601,3.73671,6.52566,7.21891,7.6572,3.37532,4.42836,5.27004,5.79201,Protein coding
3230401D17Rik,13,14.8215,13.2256,13.8231,10.3631,18.2319,15.5318,12.0864,6.71877,21.1077,18.0483,17.0287,11.7907,Protein coding
